w,taza
"('in', 'his')",0.25,The Lovers
"('his', 'enthusiasm')",0.3333333333333333,The Lovers
"('enthusiasm', 'that')",0.3333333333333333,The Lovers
"('that', 'he')",0.25,The Lovers
"('he', 'had')",0.25,The Lovers
"('had', 'not')",0.0,The Lovers
"('not', 'been')",0.2,The Lovers
"('been', 'asked')",0.14285714285714285,The Lovers
"('asked', 'to')",0.0,The Lovers
"('to', 'speak')",0.0,The Lovers
"('speak', '.')",0.0,The Lovers
"('.', 'Macneff')",0.0,The Lovers
"('Macneff', 'stopped')",0.09090909090909091,The Lovers
"('stopped', 'pacing')",0.09090909090909091,The Lovers
"('pacing', 'to')",0.0,The Lovers
"('to', 'stare')",0.16666666666666666,The Lovers
"('stare', 'at')",0.4,The Lovers
"('at', 'Hal')",0.25,The Lovers
"('Hal', 'with')",0.0,The Lovers
"('with', 'his')",0.4,The Lovers
"('his', 'pale')",0.0,The Lovers
"('pale', 'blue')",0.3333333333333333,The Lovers
"('blue', 'eyes')",0.16666666666666666,The Lovers
"('eyes', '.')",0.0,The Lovers
"('``', 'How')",0.0,The Lovers
"('How', 'did')",0.0,The Lovers
"('did', 'you')",0.0,The Lovers
"('you', 'know')",0.16666666666666666,The Lovers
"('know', ""''"")",0.0,The Lovers
"(""''"", '?')",0.0,The Lovers
"('?', '?')",1.0,The Lovers
"('?', 'He')",0.0,The Lovers
"('He', 'said')",0.0,The Lovers
"('said', 'sharply')",0.2222222222222222,The Lovers
"('sharply', '.')",0.0,The Lovers
"('``', 'Forgive')",0.0,The Lovers
"('Forgive', 'me')",0.125,The Lovers
"('me', ',')",0.0,The Lovers
"(',', 'Sandalphon')",0.0,The Lovers
"('Sandalphon', ""''"")",0.0,The Lovers
"(""''"", ',')",0.0,The Lovers
"(',', 'said')",0.0,The Lovers
"('said', 'Hal')",0.16666666666666666,The Lovers
"('Hal', '.')",0.0,The Lovers
"('But', 'it')",0.25,The Lovers
"('it', 'was')",0.0,The Lovers
"('was', 'inevitable')",0.1,The Lovers
"('inevitable', '!')",0.0,The Lovers
"('!', 'Did')",0.0,The Lovers
"('Did', 'not')",0.0,The Lovers
"('not', 'the')",0.2,The Lovers
"('the', 'Forerunner')",0.125,The Lovers
"('Forerunner', 'predict')",0.18181818181818182,The Lovers
"('predict', 'in')",0.125,The Lovers
"('his', 'Time')",0.16666666666666666,The Lovers
"('Time', 'and')",0.0,The Lovers
"('and', 'the')",0.0,The Lovers
"('the', 'World')",0.0,The Lovers
"('World', 'Line')",0.0,The Lovers
"('Line', 'that')",0.0,The Lovers
"('that', 'such')",0.16666666666666666,The Lovers
"('such', 'a')",0.0,The Lovers
"('planet', 'would')",0.1,The Lovers
"('would', 'be')",0.0,The Lovers
"('be', 'found')",0.0,The Lovers
"('found', '?')",0.0,The Lovers
"('?', 'I')",0.0,The Lovers
"('I', 'believe')",0.0,The Lovers
"('believe', 'it')",0.16666666666666666,The Lovers
"('was', 'on')",0.0,The Lovers
"('on', 'page')",0.0,The Lovers
"('page', '573')",0.0,The Lovers
"('573', ""''"")",0.0,The Lovers
"('!', 'Macneff')",0.0,The Lovers
"('Macneff', 'smiled')",0.09090909090909091,The Lovers
"('smiled', 'and')",0.125,The Lovers
"('and', 'said')",0.4,The Lovers
"('said', ',')",0.0,The Lovers
"(',', '``')",0.0,The Lovers
"('``', 'I')",0.0,The Lovers
"('I', 'am')",0.0,The Lovers
"('am', 'glad')",0.2,The Lovers
"('glad', 'that')",0.16666666666666666,The Lovers
"('that', 'your')",0.0,The Lovers
"('your', 'scriptural')",0.18181818181818182,The Lovers
"('scriptural', 'lessons')",0.16666666666666666,The Lovers
"('lessons', 'have')",0.125,The Lovers
"('have', 'left')",0.14285714285714285,The Lovers
"('left', 'such')",0.0,The Lovers
"('such', 'an')",0.0,The Lovers
"('an', 'impression')",0.1111111111111111,The Lovers
"('impression', ""''"")",0.0,The Lovers
"(""''"", '.')",0.0,The Lovers
"('.', 'How')",0.0,The Lovers
"('How', 'could')",0.14285714285714285,The Lovers
"('could', 'they')",0.0,The Lovers
"('they', 'not')",0.16666666666666666,The Lovers
"('not', '?')",0.0,The Lovers
"('?', 'Thought')",0.0,The Lovers
"('Thought', 'Hal')",0.0,The Lovers
"('.', 'Besides')",0.0,The Lovers
"('Besides', ',')",0.0,The Lovers
"(',', 'they')",0.0,The Lovers
"('they', 'were')",0.16666666666666666,The Lovers
"('were', 'not')",0.0,The Lovers
"('the', 'only')",0.0,The Lovers
"('only', 'impressions')",0.2,The Lovers
"('impressions', '.')",0.0,The Lovers
"('.', 'I')",0.0,The Lovers
"('I', 'still')",0.0,The Lovers
"('still', 'bear')",0.0,The Lovers
"('bear', 'scars')",0.3333333333333333,The Lovers
"('scars', 'on')",0.0,The Lovers
"('on', 'my')",0.0,The Lovers
"('my', 'back')",0.0,The Lovers
"('back', 'where')",0.0,The Lovers
"('where', 'Pornsen')",0.25,The Lovers
"('Pornsen', ',')",0.0,The Lovers
"(',', 'my')",0.0,The Lovers
"('my', 'gapt')",0.0,The Lovers
"('gapt', ',')",0.0,The Lovers
"(',', 'whipped')",0.0,The Lovers
"('whipped', 'me')",0.14285714285714285,The Lovers
"('me', 'because')",0.14285714285714285,The Lovers
"('because', 'I')",0.0,The Lovers
"('I', 'had')",0.0,The Lovers
"('not', 'learned')",0.125,The Lovers
"('learned', 'my')",0.0,The Lovers
"('my', 'lessons')",0.0,The Lovers
"('lessons', 'well')",0.3333333333333333,The Lovers
"('well', 'enough')",0.125,The Lovers
"('enough', '.')",0.0,The Lovers
"('.', 'He')",0.0,The Lovers
"('He', 'was')",0.0,The Lovers
"('was', 'a')",0.3333333333333333,The Lovers
"('a', 'good')",0.0,The Lovers
"('good', 'impresser')",0.0,The Lovers
"('impresser', ',')",0.0,The Lovers
"(',', 'that')",0.0,The Lovers
"('that', 'Pornsen')",0.0,The Lovers
"('Pornsen', '.')",0.0,The Lovers
"('.', 'Was')",0.0,The Lovers
"('Was', '?')",0.0,The Lovers
"('?', 'Is')",0.0,The Lovers
"('Is', '!')",0.0,The Lovers
"('!', 'As')",0.0,The Lovers
"('As', 'I')",0.0,The Lovers
"('I', 'grew')",0.0,The Lovers
"('grew', 'older')",0.2857142857142857,The Lovers
"('older', 'and')",0.14285714285714285,The Lovers
"('and', 'was')",0.2,The Lovers
"('was', 'promoted')",0.0,The Lovers
"('promoted', ',')",0.0,The Lovers
"(',', 'so')",0.0,The Lovers
"('so', 'was')",0.25,The Lovers
"('was', 'he')",0.0,The Lovers
"('he', ',')",0.0,The Lovers
"(',', 'always')",0.0,The Lovers
"('always', 'where')",0.125,The Lovers
"('where', 'I')",0.0,The Lovers
"('I', 'was')",0.0,The Lovers
"('was', '.')",0.0,The Lovers
"('was', 'my')",0.0,The Lovers
"('gapt', 'in')",0.0,The Lovers
"('in', 'the')",0.0,The Lovers
"('the', 'creche')",0.4,The Lovers
"('creche', '.')",0.0,The Lovers
"('was', 'the')",0.0,The Lovers
"('the', 'dormitory')",0.1111111111111111,The Lovers
"('dormitory', 'gapt')",0.1,The Lovers
"('gapt', 'when')",0.0,The Lovers
"('when', 'I')",0.0,The Lovers
"('I', 'went')",0.0,The Lovers
"('went', 'to')",0.2,The Lovers
"('to', 'college')",0.16666666666666666,The Lovers
"('college', 'and')",0.0,The Lovers
"('and', 'thought')",0.0,The Lovers
"('thought', 'I')",0.0,The Lovers
"('was', 'getting')",0.0,The Lovers
"('getting', 'away')",0.0,The Lovers
"('away', 'from')",0.0,The Lovers
"('from', 'him')",0.16666666666666666,The Lovers
"('him', '.')",0.0,The Lovers
"('He', 'is')",0.0,The Lovers
"('is', 'now')",0.0,The Lovers
"('now', 'my')",0.0,The Lovers
"('my', 'block')",0.0,The Lovers
"('block', 'gapt')",0.0,The Lovers
"('gapt', '.')",0.0,The Lovers
"('is', 'the')",0.0,The Lovers
"('the', 'one')",0.2,The Lovers
"('one', 'responsible')",0.3333333333333333,The Lovers
"('responsible', 'for')",0.2,The Lovers
"('for', 'my')",0.0,The Lovers
"('my', 'getting')",0.0,The Lovers
"('getting', 'such')",0.0,The Lovers
"('such', 'low')",0.0,The Lovers
"('low', 'M.')",0.0,The Lovers
"('M.', ""R.'s"")",0.2,The Lovers
"(""R.'s"", '.')",0.25,The Lovers
"('.', 'Swiftly')",0.0,The Lovers
"('Swiftly', ',')",0.0,The Lovers
"(',', 'came')",0.0,The Lovers
"('came', 'the')",0.16666666666666666,The Lovers
"('the', 'revulsion')",0.09090909090909091,The Lovers
"('revulsion', ',')",0.0,The Lovers
"(',', 'the')",0.0,The Lovers
"('the', 'protest')",0.2857142857142857,The Lovers
"('protest', '.')",0.0,The Lovers
"('.', 'No')",0.0,The Lovers
"('No', ',')",0.0,The Lovers
"(',', 'not')",0.0,The Lovers
"('not', 'he')",0.0,The Lovers
"(',', 'for')",0.0,The Lovers
"('for', 'I')",0.0,The Lovers
"('I', ',')",0.0,The Lovers
"(',', 'and')",0.0,The Lovers
"('and', 'I')",0.0,The Lovers
"('I', 'alone')",0.0,The Lovers
"('alone', ',')",0.0,The Lovers
"(',', 'am')",0.0,The Lovers
"('am', 'responsible')",0.0,The Lovers
"('for', 'whatever')",0.1111111111111111,The Lovers
"('whatever', 'happens')",0.3,The Lovers
"('happens', 'to')",0.0,The Lovers
"('to', 'me')",0.0,The Lovers
"('me', '.')",0.0,The Lovers
"('.', 'If')",0.0,The Lovers
"('If', 'I')",0.5,The Lovers
"('I', 'get')",0.0,The Lovers
"('get', 'a')",0.0,The Lovers
"('a', 'low')",0.0,The Lovers
"('M.', 'R.')",0.3333333333333333,The Lovers
"('R.', ',')",0.0,The Lovers
"(',', 'I')",0.0,The Lovers
"('I', 'do')",0.0,The Lovers
"('do', 'so')",0.3333333333333333,The Lovers
"('so', 'because')",0.14285714285714285,The Lovers
"('I', 'want')",0.0,The Lovers
"('want', 'it')",0.2,The Lovers
"('it', 'that')",0.25,The Lovers
"('that', 'way')",0.2,The Lovers
"('way', 'or')",0.0,The Lovers
"('or', 'my')",0.0,The Lovers
"('my', 'dark')",0.0,The Lovers
"('dark', 'self')",0.0,The Lovers
"('self', 'does')",0.3333333333333333,The Lovers
"('does', '.')",0.0,The Lovers
"('I', 'die')",0.0,The Lovers
"('die', ',')",0.0,The Lovers
"('die', 'because')",0.125,The Lovers
"('I', 'willed')",0.0,The Lovers
"('willed', 'it')",0.16666666666666666,The Lovers
"('it', 'so')",0.0,The Lovers
"('so', '.')",0.0,The Lovers
"('.', 'So')",0.0,The Lovers
"('So', ',')",0.0,The Lovers
"(',', 'forgive')",0.0,The Lovers
"('forgive', 'me')",0.125,The Lovers
"(',', 'Sigmen')",0.0,The Lovers
"('Sigmen', ',')",0.0,The Lovers
"('for', 'the')",0.0,The Lovers
"('the', 'contrary-to-reality')",0.16666666666666666,The Lovers
"('contrary-to-reality', 'thoughts')",0.13333333333333333,The Lovers
"('thoughts', '!')",0.0,The Lovers
"('!', '``')",0.0,The Lovers
"('``', 'Please')",0.0,The Lovers
"('Please', 'pardon')",0.1,The Lovers
"('pardon', 'me')",0.0,The Lovers
"('me', 'again')",0.0,The Lovers
"('again', ',')",0.0,The Lovers
"('But', 'did')",0.0,The Lovers
"('did', 'the')",0.0,The Lovers
"('the', 'expedition')",0.2222222222222222,The Lovers
"('expedition', 'find')",0.3333333333333333,The Lovers
"('find', 'any')",0.16666666666666666,The Lovers
"('any', 'records')",0.0,The Lovers
"('records', 'of')",0.14285714285714285,The Lovers
"('of', 'the')",0.0,The Lovers
"('Forerunner', 'having')",0.09090909090909091,The Lovers
"('having', 'been')",0.125,The Lovers
"('been', 'on')",0.25,The Lovers
"('on', 'this')",0.0,The Lovers
"('this', 'planet')",0.1111111111111111,The Lovers
"('planet', '?')",0.0,The Lovers
"('?', 'Perhaps')",0.0,The Lovers
"('Perhaps', ',')",0.0,The Lovers
"(',', 'even')",0.0,The Lovers
"('even', ',')",0.0,The Lovers
"(',', 'though')",0.0,The Lovers
"('though', 'this')",0.2857142857142857,The Lovers
"('this', 'is')",0.5,The Lovers
"('is', 'too')",0.0,The Lovers
"('too', 'much')",0.0,The Lovers
"('much', 'to')",0.0,The Lovers
"('to', 'wish')",0.0,The Lovers
"('wish', ',')",0.0,The Lovers
"(',', 'find')",0.0,The Lovers
"('find', 'the')",0.0,The Lovers
"('Forerunner', 'himself')",0.08333333333333333,The Lovers
"('himself', ""''"")",0.0,The Lovers
"('?', '``')",0.0,The Lovers
"('``', 'No')",0.0,The Lovers
"('No', ""''"")",0.0,The Lovers
"('said', 'Macneff')",0.1111111111111111,The Lovers
"('Macneff', '.')",0.0,The Lovers
"('``', 'Though')",0.0,The Lovers
"('Though', 'that')",0.14285714285714285,The Lovers
"('that', 'does')",0.0,The Lovers
"('does', 'not')",0.16666666666666666,The Lovers
"('not', 'mean')",0.16666666666666666,The Lovers
"('mean', 'that')",0.16666666666666666,The Lovers
"('that', 'there')",0.4,The Lovers
"('there', 'may')",0.0,The Lovers
"('may', 'not')",0.0,The Lovers
"('not', 'be')",0.0,The Lovers
"('be', 'such')",0.0,The Lovers
"('such', 'records')",0.25,The Lovers
"('records', 'there')",0.25,The Lovers
"('there', '.')",0.0,The Lovers
"('.', 'The')",0.0,The Lovers
"('The', 'expedition')",0.1,The Lovers
"('expedition', 'was')",0.0,The Lovers
"('was', 'under')",0.0,The Lovers
"('under', 'orders')",0.42857142857142855,The Lovers
"('orders', 'to')",0.16666666666666666,The Lovers
"('to', 'make')",0.0,The Lovers
"('make', 'a')",0.25,The Lovers
"('a', 'swift')",0.0,The Lovers
"('swift', 'survey')",0.1,The Lovers
"('survey', 'of')",0.0,The Lovers
"('of', 'conditions')",0.125,The Lovers
"('conditions', 'and')",0.25,The Lovers
"('and', 'then')",0.16666666666666666,The Lovers
"('then', 'to')",0.2,The Lovers
"('to', 'return')",0.16666666666666666,The Lovers
"('return', 'to')",0.16666666666666666,The Lovers
"('to', 'Earth')",0.16666666666666666,The Lovers
"('Earth', '.')",0.0,The Lovers
"('I', ""can't"")",0.0,The Lovers
"(""can't"", 'tell')",0.14285714285714285,The Lovers
"('you', 'now')",0.2,The Lovers
"('now', 'the')",0.0,The Lovers
"('the', 'distance')",0.2222222222222222,The Lovers
"('distance', 'in')",0.25,The Lovers
"('in', 'lightyears')",0.09090909090909091,The Lovers
"('lightyears', 'or')",0.09090909090909091,The Lovers
"('or', 'what')",0.0,The Lovers
"('what', 'star')",0.3333333333333333,The Lovers
"('star', 'this')",0.3333333333333333,The Lovers
"('this', 'was')",0.16666666666666666,The Lovers
"('was', ',')",0.0,The Lovers
"('though', 'you')",0.3333333333333333,The Lovers
"('you', 'can')",0.0,The Lovers
"('can', 'see')",0.0,The Lovers
"('see', 'it')",0.0,The Lovers
"('it', 'with')",0.5,The Lovers
"('with', 'the')",0.4,The Lovers
"('the', 'naked')",0.14285714285714285,The Lovers
"('naked', 'eye')",0.16666666666666666,The Lovers
"('eye', 'at')",0.0,The Lovers
"('at', 'night')",0.16666666666666666,The Lovers
"('night', 'in')",0.4,The Lovers
"('in', 'this')",0.2,The Lovers
"('this', 'hemisphere')",0.375,The Lovers
"('hemisphere', '.')",0.0,The Lovers
"('If', 'you')",0.0,The Lovers
"('you', 'volunteer')",0.2222222222222222,The Lovers
"('volunteer', ',')",0.0,The Lovers
"(',', 'you')",0.0,The Lovers
"('you', 'will')",0.0,The Lovers
"('will', 'be')",0.0,The Lovers
"('be', 'told')",0.0,The Lovers
"('told', 'where')",0.0,The Lovers
"('where', ""you're"")",0.25,The Lovers
"(""you're"", 'going')",0.1111111111111111,The Lovers
"('going', 'after')",0.0,The Lovers
"('after', 'the')",0.3333333333333333,The Lovers
"('the', 'ship')",0.16666666666666666,The Lovers
"('ship', 'leaves')",0.125,The Lovers
"('leaves', '.')",0.0,The Lovers
"('.', 'And')",0.0,The Lovers
"('And', 'it')",0.0,The Lovers
"('it', 'leaves')",0.0,The Lovers
"('leaves', 'very')",0.2857142857142857,The Lovers
"('very', 'soon')",0.0,The Lovers
"('soon', ""''"")",0.0,The Lovers
"('``', 'You')",0.0,The Lovers
"('You', 'need')",0.0,The Lovers
"('need', 'a')",0.0,The Lovers
"('a', 'linguist')",0.0,The Lovers
"('linguist', ""''"")",0.0,The Lovers
"('?', 'Said')",0.0,The Lovers
"('``', 'The')",0.0,The Lovers
"('The', 'ship')",0.16666666666666666,The Lovers
"('ship', 'is')",0.5,The Lovers
"('is', 'huge')",0.0,The Lovers
"('huge', ""''"")",0.0,The Lovers
"('Macneff', ',')",0.0,The Lovers
"('``', 'but')",0.0,The Lovers
"('but', 'the')",0.2,The Lovers
"('the', 'number')",0.125,The Lovers
"('number', 'of')",0.0,The Lovers
"('of', 'military')",0.0,The Lovers
"('military', 'men')",0.1111111111111111,The Lovers
"('men', 'and')",0.2,The Lovers
"('and', 'specialists')",0.1,The Lovers
"('specialists', 'we')",0.1111111111111111,The Lovers
"('we', 'are')",0.25,The Lovers
"('are', 'taking')",0.125,The Lovers
"('taking', 'limits')",0.2222222222222222,The Lovers
"('limits', 'the')",0.14285714285714285,The Lovers
"('the', 'linguists')",0.1111111111111111,The Lovers
"('linguists', 'to')",0.125,The Lovers
"('to', 'one')",0.25,The Lovers
"('one', '.')",0.0,The Lovers
"('have', 'considered')",0.09090909090909091,The Lovers
"('considered', 'several')",0.2727272727272727,The Lovers
"('several', 'of')",0.0,The Lovers
"('of', 'your')",0.2,The Lovers
"('your', 'professionals')",0.16666666666666666,The Lovers
"('professionals', 'because')",0.23076923076923078,The Lovers
"('because', 'they')",0.1111111111111111,The Lovers
"('were', 'lamechians')",0.09090909090909091,The Lovers
"('lamechians', 'and')",0.2,The Lovers
"('and', 'above')",0.14285714285714285,The Lovers
"('above', 'suspicion')",0.09090909090909091,The Lovers
"('suspicion', '.')",0.0,The Lovers
"('.', 'Unfortunately')",0.0,The Lovers
"('Unfortunately', ""''"")",0.0,The Lovers
"(""''"", 'Hal')",0.0,The Lovers
"('Hal', 'waited')",0.125,The Lovers
"('waited', ':')",0.0,The Lovers
"(':', 'Macneff')",0.0,The Lovers
"('Macneff', 'paced')",0.375,The Lovers
"('paced', 'some')",0.125,The Lovers
"('some', 'more')",0.6,The Lovers
"('more', ',')",0.0,The Lovers
"(',', 'frowning')",0.0,The Lovers
"('frowning', '.')",0.0,The Lovers
"('.', 'Then')",0.0,The Lovers
"('Then', ',')",0.0,The Lovers
"(',', 'he')",0.0,The Lovers
"('he', 'said')",0.0,The Lovers
"('``', 'Unfortunately')",0.0,The Lovers
"('Unfortunately', ',')",0.0,The Lovers
"(',', 'only')",0.0,The Lovers
"('only', 'one')",0.4,The Lovers
"('one', 'lamechian')",0.2222222222222222,The Lovers
"('lamechian', 'linguist')",0.25,The Lovers
"('linguist', 'exists')",0.3333333333333333,The Lovers
"('exists', ',')",0.0,The Lovers
"('and', 'he')",0.0,The Lovers
"('he', 'is')",0.0,The Lovers
"('too', 'old')",0.25,The Lovers
"('old', 'for')",0.2,The Lovers
"('for', 'this')",0.0,The Lovers
"('this', 'expedition')",0.2,The Lovers
"('expedition', '.')",0.0,The Lovers
"('.', 'Therefore')",0.0,The Lovers
"('Therefore', ""''"")",0.0,The Lovers
"('``', 'A')",0.0,The Lovers
"('A', 'thousand')",0.0,The Lovers
"('thousand', 'pardons')",0.5,The Lovers
"('pardons', ""''"")",0.0,The Lovers
"('But', 'I')",0.0,The Lovers
"('I', 'have')",0.0,The Lovers
"('have', 'just')",0.0,The Lovers
"('just', 'thought')",0.2857142857142857,The Lovers
"('thought', 'of')",0.16666666666666666,The Lovers
"('of', 'one')",0.25,The Lovers
"('one', 'thing')",0.14285714285714285,The Lovers
"('thing', '.')",0.0,The Lovers
"('am', 'married')",0.3333333333333333,The Lovers
"('married', ""''"")",0.0,The Lovers
"('No', 'problem')",0.125,The Lovers
"('problem', 'at')",0.0,The Lovers
"('at', 'all')",0.3333333333333333,The Lovers
"('all', ""''"")",0.0,The Lovers
"('``', 'There')",0.0,The Lovers
"('There', 'will')",0.0,The Lovers
"('be', 'no')",0.0,The Lovers
"('no', 'women')",0.4,The Lovers
"('women', 'aboard')",0.1111111111111111,The Lovers
"('aboard', 'the')",0.0,The Lovers
"('the', 'Gabriel')",0.1111111111111111,The Lovers
"('Gabriel', '.')",0.0,The Lovers
"('And', ',')",0.0,The Lovers
"(',', 'if')",0.0,The Lovers
"('if', 'a')",0.0,The Lovers
"('a', 'man')",0.3333333333333333,The Lovers
"('man', 'is')",0.0,The Lovers
"('is', 'married')",0.14285714285714285,The Lovers
"('married', ',')",0.0,The Lovers
"('he', 'will')",0.0,The Lovers
"('will', 'automatically')",0.2,The Lovers
"('automatically', 'be')",0.0,The Lovers
"('be', 'given')",0.16666666666666666,The Lovers
"('given', 'a')",0.0,The Lovers
"('a', 'divorce')",0.0,The Lovers
"('divorce', ""''"")",0.0,The Lovers
"('.', 'Hal')",0.0,The Lovers
"('Hal', 'gasped')",0.125,The Lovers
"('gasped', ',')",0.0,The Lovers
"('A', 'divorce')",0.0,The Lovers
"('?', 'Macneff')",0.0,The Lovers
"('Macneff', 'raised')",0.2,The Lovers
"('raised', 'his')",0.2857142857142857,The Lovers
"('his', 'hands')",0.3333333333333333,The Lovers
"('hands', 'apologetically')",0.07142857142857142,The Lovers
"('apologetically', 'and')",0.08333333333333333,The Lovers
"('You', 'are')",0.0,The Lovers
"('are', 'horrified')",0.25,The Lovers
"('horrified', ',')",0.0,The Lovers
"(',', 'of')",0.0,The Lovers
"('of', 'course')",0.14285714285714285,The Lovers
"('course', '.')",0.0,The Lovers
"('.', 'But')",0.0,The Lovers
"('But', ',')",0.0,The Lovers
"(',', 'from')",0.0,The Lovers
"('from', 'our')",0.4,The Lovers
"('our', 'reading')",0.1111111111111111,The Lovers
"('reading', 'of')",0.0,The Lovers
"('the', 'Western')",0.2857142857142857,The Lovers
"('Western', 'Talmud')",0.0,The Lovers
"('Talmud', ',')",0.0,The Lovers
"('we', 'Urielites')",0.125,The Lovers
"('Urielites', 'believe')",0.3333333333333333,The Lovers
"('believe', 'that')",0.0,The Lovers
"('that', 'the')",0.5,The Lovers
"('Forerunner', ',')",0.0,The Lovers
"(',', 'knowing')",0.0,The Lovers
"('knowing', 'this')",0.1111111111111111,The Lovers
"('this', 'situation')",0.375,The Lovers
"('situation', 'would')",0.2,The Lovers
"('would', 'arise')",0.0,The Lovers
"('arise', ',')",0.0,The Lovers
"(',', 'made')",0.0,The Lovers
"('made', 'reference')",0.125,The Lovers
"('reference', 'to')",0.0,The Lovers
"('to', 'and')",0.0,The Lovers
"('and', 'provision')",0.1111111111111111,The Lovers
"('provision', 'for')",0.25,The Lovers
"('for', 'divorce')",0.25,The Lovers
"('divorce', '.')",0.0,The Lovers
"('.', ""It's"")",0.0,The Lovers
"(""It's"", 'inevitable')",0.09090909090909091,The Lovers
"('inevitable', 'in')",0.25,The Lovers
"('this', 'case')",0.14285714285714285,The Lovers
"('case', ',')",0.0,The Lovers
"('the', 'couple')",0.125,The Lovers
"('couple', 'will')",0.125,The Lovers
"('be', 'separated')",0.125,The Lovers
"('separated', 'for')",0.1111111111111111,The Lovers
"('for', ',')",0.0,The Lovers
"(',', 'at')",0.0,The Lovers
"('at', 'the')",0.25,The Lovers
"('the', 'least')",0.3333333333333333,The Lovers
"('least', ',')",0.0,The Lovers
"(',', 'forty')",0.0,The Lovers
"('forty', 'years')",0.25,The Lovers
"('years', '.')",0.0,The Lovers
"('.', 'Naturally')",0.0,The Lovers
"('Naturally', ',')",0.0,The Lovers
"('he', 'couched')",0.3333333333333333,The Lovers
"('couched', 'the')",0.2857142857142857,The Lovers
"('the', 'provision')",0.0,The Lovers
"('provision', 'in')",0.2857142857142857,The Lovers
"('in', 'obscure')",0.0,The Lovers
"('obscure', 'language')",0.18181818181818182,The Lovers
"('language', '.')",0.0,The Lovers
