w,vector_uso
remarks,"[9, 0, 0, 9, 9, 0, 4, 8]",Letters to the Editor
print,"[0, 10, 0, 0, 0]",Letters to the Editor
would,[],Letters to the Editor
Besides,"[121, 2, 3, 0, 118, 0]",Letters to the Editor
attention,"[0, 21, 7, 1, 17]",Letters to the Editor
entering,"[3, 2, 2, 4, 0, 22, 0, 0, 0, 0, 0, 0, 19, 0, 0, 5, 0, 12, 1, 0, 0, 2, 0, 0, 0]",Letters to the Editor
living,"[0, 0, 33, 0, 0, 5, 0, 0, 2, 6, 26, 13, 90, 1, 0, 0, 98, 0, 0, 0, 83, 129, 0, 35, 722, 49]",Letters to the Editor
And,[],Letters to the Editor
longer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 28]",Letters to the Editor
Richard,[],Letters to the Editor
as,"[0, 0, 0, 0, 0, 69, 828, 0, 0, 0, 2793, 0, 0, 0, 0, 0, 147, 0, 4, 0, 0, 0]",Letters to the Editor
book,"[0, 0, 2, 0, 17, 0, 0, 19, 12, 0, 1, 4, 4, 0, 0, 11, 0, 0, 0, 0, 0, 3, 0, 0, 0]",Letters to the Editor
type,"[35, 12, 0, 16, 0, 0]",Letters to the Editor
all-powerful,"[0, 0, 0]",Letters to the Editor
they,[],Letters to the Editor
you,[],Letters to the Editor
members,"[7, 1, 0, 0, 0, 0]",Letters to the Editor
When,[],Letters to the Editor
Science,"[8, 0, 11]",Letters to the Editor
average,"[10, 0, 0, 1, 21, 2, 8, 37, 15, 0, 0, 0]",Letters to the Editor
illustrated,"[10, 1, 3]",Letters to the Editor
Toward,[],Letters to the Editor
information,"[4, 0, 16, 0, 0]",Letters to the Editor
basis,"[21, 0, 0, 26, 0, 1, 0, 3]",Letters to the Editor
constitute,"[31, 0, 13, 113, 0, 1, 3, 722, 59, 0, 39, 0, 6, 3]",Letters to the Editor
at,"[35, 0, 0, 580]",Letters to the Editor
desire,"[16, 22, 7, 51]",Letters to the Editor
One,"[0, 0, 0, 5, 24, 0, 0, 29, 0, 0, 786, 0, 3, 321, 0, 1, 0]",Letters to the Editor
their,[],Letters to the Editor
our,[],Letters to the Editor
if,[],Letters to the Editor
manipulate,"[0, 4, 0, 0, 0, 38, 0, 0, 0, 1, 1, 0]",Letters to the Editor
the,[],Letters to the Editor
suffer,"[0, 0, 0, 2, 13, 0, 0, 5, 16, 0, 3, 0, 6, 0, 19, 123, 9, 492, 19]",Letters to the Editor
note,"[1, 0, 0, 4, 0, 2, 0, 8, 0, 24, 0, 8, 0, 10, 4, 1, 6, 0, 0, 0, 0, 0, 9, 9, 0, 0, 0, 0]",Letters to the Editor
squeeze,"[10, 0, 1, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 5, 1, 0, 0, 0, 0, 0, 6, 0, 14, 0]",Letters to the Editor
Thanks,"[0, 5, 0]",Letters to the Editor
Young's,[],Letters to the Editor
There,"[0, 0, 0, 0, 276, 0]",Letters to the Editor
supported,"[0, 0, 0, 0, 1, 2, 0, 17, 0, 0, 0, 0, 0, 0, 2, 0, 13, 1, 162, 0, 0, 0, 3, 0, 5, 0, 3, 0, 6, 2, 5, 0, 19, 0, 0]",Letters to the Editor
Lucas's,[],Letters to the Editor
which,[],Letters to the Editor
Facts,[74],Letters to the Editor
1960,[],Letters to the Editor
precisely,"[13, 0, 0, 4, 115, 0, 0]",Letters to the Editor
Peace,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 11]",Letters to the Editor
probably,"[0, 0, 0, 0, 13, 1, 27, 0]",Letters to the Editor
(,[],Letters to the Editor
women,"[0, 0, 0, 0, 0, 0, 0, 48]",Letters to the Editor
dissembling,"[4, 1, 0, 0, 7, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0]",Letters to the Editor
reaction,"[28, 0, 8]",Letters to the Editor
advance,"[0, 3, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 0, 0, 0, 10, 0, 0, 0, 11, 1, 0, 1, 0, 7, 0, 0, 2, 4, 5, 0, 0, 18]",Letters to the Editor
sure,"[0, 0, 0, 9, 42, 2, 16, 0, 42, 0]",Letters to the Editor
existence,"[0, 96, 22, 20, 0, 100, 0, 4]",Letters to the Editor
foreign,"[7, 7, 12, 0]",Letters to the Editor
University,[7],Letters to the Editor
perspective,"[0, 17, 19, 4]",Letters to the Editor
Lindemanns,[],Letters to the Editor
ago,"[0, 39]",Letters to the Editor
are,"[0, 12, 1, 11, 722, 6, 0, 26, 0, 21, 479, 0, 6, 3]",Letters to the Editor
uncover,"[0, 6, 0, 2, 1]",Letters to the Editor
suggestions,"[0, 0, 0, 3, 0, 5, 0, 3]",Letters to the Editor
It,"[0, 0]",Letters to the Editor
shared,"[0, 0, 4, 0, 0, 0, 0, 20, 0, 2, 17]",Letters to the Editor
stunning,"[0, 1, 0, 0, 0, 0, 1, 0]",Letters to the Editor
Even,"[1, 1, 0, 115, 10, 14, 14, 47, 8, 103, 0, 0]",Letters to the Editor
SR's,[],Letters to the Editor
among,[],Letters to the Editor
young,"[0, 0, 0, 92, 38, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13]",Letters to the Editor
America,"[0, 0, 0, 0, 0, 17, 14, 0]",Letters to the Editor
comment,"[0, 3, 8, 0, 0, 0, 9, 0, 0, 0]",Letters to the Editor
over,"[22, 0, 1, 0, 6, 0, 163]",Letters to the Editor
any,"[168, 0, 14]",Letters to the Editor
capture,"[2, 4, 0, 1, 0, 0, 2, 5, 0, 0, 2, 0, 0, 1, 0, 0, 123, 0, 6]",Letters to the Editor
charges,"[37, 0, 0, 1, 0, 5, 4, 0, 1, 0, 1, 0, 1, 14, 0, 8, 0, 1, 0, 10, 4, 0, 1, 1, 0, 8, 0, 2, 0, 5, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 21, 0, 0, 2, 0, 1, 3, 9, 3, 6]",Letters to the Editor
before,"[14, 123, 0, 17]",Letters to the Editor
every,[49],Letters to the Editor
:,[],Letters to the Editor
Reprints,"[0, 0, 5, 0, 0]",Letters to the Editor
You,[],Letters to the Editor
errors,"[3, 0, 4, 6, 0, 0, 0, 0]",Letters to the Editor
more,"[7, 0, 0, 0, 271, 0]",Letters to the Editor
Asia,[3],Letters to the Editor
conference,"[0, 2, 0]",Letters to the Editor
He,"[2, 486, 0, 1039]",Letters to the Editor
got,"[0, 0, 0, 7, 0, 2, 0, 0, 0, 0, 23, 4, 0, 0, 3, 1, 0, 6, 0, 1, 33, 19, 0, 0, 51, 0, 0, 2, 0, 90, 2, 12, 5, 0, 0, 21, 0, 113, 0, 0, 19, 0, 80, 8, 1, 55, 1, 0, 0, 0, 11, 18, 18, 0, 3, 84, 0, 0, 0, 3, 6, 123, 9, 12, 0, 0, 49, 492, 3, 16]",Letters to the Editor
New,"[0, 36, 12, 92, 3, 0, 1, 5, 38, 4, 4]",Letters to the Editor
current,"[0, 2, 8, 5]",Letters to the Editor
editorial,"[3, 4, 0]",Letters to the Editor
other,"[183, 41, 10]",Letters to the Editor
TV,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Letters to the Editor
Inauguration,"[0, 0, 0]",Letters to the Editor
program,"[0, 0, 2, 0, 0, 0, 2, 27, 0, 15, 0, 0]",Letters to the Editor
milder,"[4, 6, 0, 0, 3]",Letters to the Editor
be,"[4, 12, 1, 0, 11, 722, 6, 0, 26, 0, 0, 21, 0, 6, 3, 0]",Letters to the Editor
rather,"[0, 23, 40, 0, 1, 28, 0, 3]",Letters to the Editor
Huntley,[],Letters to the Editor
freely,[5],Letters to the Editor
way,"[3, 0, 8, 27, 8, 0, 15, 6, 9, 123, 0, 31, 2]",Letters to the Editor
Messing,"[0, 1]",Letters to the Editor
areas,"[34, 0, 28, 9, 1, 0, 1, 0, 1, 32]",Letters to the Editor
confidence,"[0, 3, 2, 1, 7, 1, 0]",Letters to the Editor
few,[71],Letters to the Editor
its,"[0, 0]",Letters to the Editor
warfare,"[31, 2]",Letters to the Editor
doctored,"[0, 0, 0, 0, 0, 1, 7, 0, 2, 4]",Letters to the Editor
Government,"[13, 8, 0, 3, 0, 3, 0, 3, 4]",Letters to the Editor
happened,"[0, 0, 0, 1, 12, 0, 0, 0, 0, 0, 3, 55, 17, 0, 0, 3, 14]",Letters to the Editor
constructive,[1],Letters to the Editor
because,[],Letters to the Editor
choose,"[3, 0, 4, 3, 0, 80]",Letters to the Editor
news,"[1, 0, 0, 37, 0, 11, 2]",Letters to the Editor
U.S.,"[0, 0, 0, 0, 0, 17, 14, 0, 0, 0, 0]",Letters to the Editor
early,"[183, 0, 41, 0, 0, 0, 10]",Letters to the Editor
We,[],Letters to the Editor
amazing,"[0, 0, 0, 0, 23, 0, 2, 6, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 123, 1, 0, 2]",Letters to the Editor
acknowledge,"[0, 10, 129, 5, 2, 1, 8]",Letters to the Editor
people,"[0, 2, 0, 0, 0, 102, 4]",Letters to the Editor
25,"[6, 0, 0, 2]",Letters to the Editor
expressed,"[1, 9, 0, 0, 49, 44, 0, 0, 0, 0, 0, 7, 0, 2, 2, 0, 5]",Letters to the Editor
or,"[0, 0, 1, 1, 0, 0, 0]",Letters to the Editor
situation,"[1, 19, 16, 6, 0, 0, 2, 7, 72, 43]",Letters to the Editor
distributed,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 20, 0, 0, 11]",Letters to the Editor
job,"[39, 0, 0, 0, 31, 0, 0, 36, 0, 1, 7, 5, 24, 0]",Letters to the Editor
stations',[],Letters to the Editor
sort,"[1, 0, 18, 2, 0, 5, 0, 57, 10, 39, 0, 0, 12]",Letters to the Editor
hours,"[5, 15, 0, 21, 0, 0]",Letters to the Editor
sufferer,"[0, 0, 0, 0]",Letters to the Editor
far,"[0, 0, 0, 57, 0, 0]",Letters to the Editor
intelligent,"[0, 5, 25, 15, 0, 0, 4, 0]",Letters to the Editor
communicating,"[1, 0, 0, 0, 1, 0, 12, 0, 0, 0, 3]",Letters to the Editor
Madison,"[0, 1, 0, 0]",Letters to the Editor
complex,"[0, 0, 15, 0]",Letters to the Editor
here,"[96, 12, 0, 0]",Letters to the Editor
hoping,"[22, 0, 0, 16, 7, 0, 0]",Letters to the Editor
Americans,"[0, 0, 39]",Letters to the Editor
everyone,[],Letters to the Editor
received,"[4, 13, 7, 49, 2, 0, 123, 3, 55, 0, 1, 10, 5, 492, 19]",Letters to the Editor
never,"[0, 96]",Letters to the Editor
Press,"[10, 0, 1, 3, 1, 0, 0, 0, 0, 1, 5, 8, 1, 0, 0, 0, 10, 0, 5, 0, 4, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 6, 11, 0, 0, 4, 2, 0]",Letters to the Editor
Next,"[47, 20, 0, 37, 0, 0]",Letters to the Editor
evening,"[1, 1, 0, 115, 14, 14, 0]",Letters to the Editor
mention,"[31, 9, 0, 0, 0, 9, 3, 5, 2, 0, 3, 0, 0, 4, 0]",Letters to the Editor
we,[],Letters to the Editor
abuse,"[12, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",Letters to the Editor
service,"[0, 0, 0, 3, 0, 19, 0, 0, 41, 0, 0, 9, 1, 0, 0, 0]",Letters to the Editor
for,[],Letters to the Editor
get,"[0, 0, 0, 7, 0, 2, 0, 0, 0, 0, 23, 4, 0, 0, 3, 1, 0, 6, 0, 1, 33, 19, 0, 0, 51, 0, 0, 2, 0, 90, 2, 12, 5, 0, 0, 21, 0, 113, 0, 0, 19, 0, 80, 8, 1, 55, 1, 0, 0, 0, 11, 18, 18, 0, 3, 84, 0, 0, 0, 3, 6, 123, 9, 12, 0, 0, 49, 492, 3, 16]",Letters to the Editor
perilous,"[0, 1, 0, 0]",Letters to the Editor
?,[],Letters to the Editor
Charles',[],Letters to the Editor
see,"[13, 6, 1, 0, 8, 0, 11, 1, 0, 4, 22, 0, 0, 59, 0, 15, 0, 4, 10, 4, 0, 0, 8, 3, 0, 12, 2, 0, 17, 0, 0, 7, 0, 0, 17, 1, 3, 55, 0, 0, 0, 2, 7, 0, 20, 38, 0, 0, 0, 6, 4, 49, 5, 102, 19]",Letters to the Editor
house,"[52, 0, 3, 0, 0, 0, 0, 0, 0, 54, 0, 2, 11, 13, 0, 74]",Letters to the Editor
Senator,[0],Letters to the Editor
really,"[40, 1, 0, 8, 33, 11, 81, 0]",Letters to the Editor
Despite,"[0, 3, 6, 1]",Letters to the Editor
Snow,"[1, 6, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 13]",Letters to the Editor
able,"[7, 29, 0]",Letters to the Editor
better,"[0, 25, 0, 20, 5, 82, 57, 0, 5, 24, 0, 8, 0, 7, 0, 1, 0, 115, 0, 1, 8, 134, 36, 0, 4, 0, 13, 8, 0, 9, 23, 0, 1, 84, 0, 3, 8, 2, 0, 0, 0, 3, 0, 2, 5, 0, 0, 1]",Letters to the Editor
he,"[2, 486, 0, 1039]",Letters to the Editor
differential,"[0, 0, 0, 0, 9, 0]",Letters to the Editor
concerning,"[0, 11, 1, 0, 5, 3, 33, 1, 0, 8, 1, 0]",Letters to the Editor
done,"[32, 46, 163, 1, 3, 0, 0, 0, 0, 0, 22, 0, 9, 25, 113, 0, 6, 1, 5, 0, 0, 18, 125, 84, 3, 0, 6]",Letters to the Editor
commentator,"[0, 3, 0]",Letters to the Editor
Society,"[0, 0, 0, 0, 0, 0, 0, 11, 0, 11, 1, 1, 34, 15]",Letters to the Editor
authoritative,"[0, 0, 3, 1, 32, 0, 1]",Letters to the Editor
couple,"[5, 11, 0, 0, 2, 1, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0]",Letters to the Editor
face,"[0, 8, 0, 62, 59, 0, 61, 36, 0, 14, 3, 0, 41, 0, 0, 0, 1, 35, 5, 0]",Letters to the Editor
successfully,[2],Letters to the Editor
idealism,"[0, 0, 0]",Letters to the Editor
conferences,"[0, 2, 0]",Letters to the Editor
invited,"[0, 0, 0, 0, 7, 0, 0, 1, 0, 4, 0]",Letters to the Editor
College,[16],Letters to the Editor
Relations,"[0, 9, 5, 0, 0, 1, 0, 13, 0, 8, 0, 0, 0, 0, 0, 0, 8]",Letters to the Editor
idea,"[0, 50, 7, 3, 67, 0, 31, 1, 0]",Letters to the Editor
transcripts,"[1, 3]",Letters to the Editor
Los,[],Letters to the Editor
sides,"[14, 19, 61, 0, 1, 5, 62]",Letters to the Editor
alike,"[15, 1, 2, 176]",Letters to the Editor
personally,"[3, 0]",Letters to the Editor
heart,"[0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 2, 3, 0, 1, 15, 2, 0, 2, 5, 14, 0, 0, 0, 11, 1, 0, 3, 1, 23]",Letters to the Editor
fortify,"[0, 0, 0, 0, 0, 1, 0, 18, 0]",Letters to the Editor
is,"[12, 1, 11, 722, 6, 0, 26, 0, 21, 0, 6, 3]",Letters to the Editor
unclear,"[0, 0, 0, 0, 0]",Letters to the Editor
impression,"[4, 27, 6, 1, 20, 0, 4, 3, 0, 0, 6, 23]",Letters to the Editor
protecting,"[2, 1]",Letters to the Editor
obviously,"[2, 10, 7, 3, 0, 9, 0]",Letters to the Editor
root,"[0, 20, 11, 0, 4, 0, 4, 3, 0, 0, 0, 0, 0, 0, 1, 0, 4, 8, 7, 0, 0, 0, 0]",Letters to the Editor
sorry,"[3, 0, 0, 13, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 0, 31, 0, 1, 5, 19, 0, 0, 0, 0]",Letters to the Editor
radar,"[0, 0, 0, 3]",Letters to the Editor
ABC,"[1, 0, 0, 0, 0, 0, 0]",Letters to the Editor
only,"[3, 211, 13, 25, 1, 3, 0, 409, 4, 115, 17, 11, 3, 0, 0]",Letters to the Editor
commits,"[0, 3, 7, 51, 0, 8, 1, 10, 72, 51, 1, 0, 0, 0, 1, 6, 0, 0, 7]",Letters to the Editor
local,"[0, 20, 0, 0, 0]",Letters to the Editor
publicly,"[0, 2, 0]",Letters to the Editor
picture,"[13, 0, 0, 6, 13, 0, 44, 0, 22, 0, 3, 1, 4, 0, 0, 2, 2, 0, 0, 0, 0, 0, 1, 3, 0, 1, 12, 20, 0, 1, 0, 0, 0, 0, 0, 1, 102, 0]",Letters to the Editor
preceded,"[3, 0, 0, 0, 0, 1, 20, 2, 0, 0, 0]",Letters to the Editor
spread,"[0, 0, 0, 0, 0, 38, 0, 0, 0, 4, 1, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0]",Letters to the Editor
reporting,"[8, 1, 2, 8, 13, 0, 6]",Letters to the Editor
provide,"[1, 0, 0, 12, 3, 11, 32, 0, 16, 1, 0, 0]",Letters to the Editor
some,"[2, 0, 0, 0, 237, 6, 0, 85, 182]",Letters to the Editor
dissuade,"[0, 0]",Letters to the Editor
occasion,"[6, 5, 0, 0, 0, 0]",Letters to the Editor
leaves,"[1, 0, 0, 12, 0, 0, 0, 0, 27, 20, 0, 218, 51, 9, 3, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 32, 16]",Letters to the Editor
parts,"[12, 3, 12, 0, 1, 7, 0, 6, 47, 4, 3, 0, 9, 4, 0, 30, 0, 0, 0, 1, 0, 12, 11, 19, 0, 13, 5, 0, 16, 0, 0, 0, 1, 5, 17]",Letters to the Editor
SR,"[0, 0, 0, 0, 0]",Letters to the Editor
formality,"[0, 0, 0]",Letters to the Editor
summarized,"[1, 0, 0, 5, 0]",Letters to the Editor
forthcoming,"[6, 1, 26, 0, 0, 3]",Letters to the Editor
an,"[0, 0]",Letters to the Editor
all,"[13, 24, 352, 6, 2, 2, 28]",Letters to the Editor
Watson-Watt,[],Letters to the Editor
percentage,"[47, 4, 4, 0, 1, 17, 0]",Letters to the Editor
felt,"[0, 0, 37, 49, 0, 0, 40, 8, 0, 55, 49, 0, 1]",Letters to the Editor
Bostonian,[0],Letters to the Editor
two,"[0, 158, 0, 0, 26]",Letters to the Editor
Kennedy's,[],Letters to the Editor
To,[],Letters to the Editor
stories,"[4, 40, 0, 0, 0, 14, 0, 31, 0, 23, 0, 8, 13, 0, 1, 0]",Letters to the Editor
armed,"[0, 0, 0, 4, 18]",Letters to the Editor
Douglas,"[0, 0, 1, 0]",Letters to the Editor
appeal,"[0, 4, 2, 5, 0, 0, 0, 0, 5, 4]",Letters to the Editor
answer,"[25, 8, 10, 0, 1, 27, 163, 1, 9, 8, 3, 1]",Letters to the Editor
States,"[0, 0, 0, 28, 0, 32, 49, 7, 39, 0, 5, 0, 0, 0, 0, 0, 0, 21, 70, 11]",Letters to the Editor
heartbreaking,"[0, 0, 0]",Letters to the Editor
own,"[0, 492, 4, 111]",Letters to the Editor
a,"[0, 147, 0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0]",Letters to the Editor
thwarted,"[1, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 6, 1, 3]",Letters to the Editor
praised,[1],Letters to the Editor
conception,"[2, 0, 0, 0, 7, 0, 4, 18]",Letters to the Editor
lot,"[0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 2, 12, 0, 13, 46, 0, 3, 1, 4, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4, 0, 0, 12, 1, 0, 0, 10, 3, 4, 8, 0, 0, 0, 0, 20, 0, 18, 9, 10]",Letters to the Editor
Southeast,"[0, 0, 0, 0, 0, 0, 0, 2, 0]",Letters to the Editor
one,"[0, 0, 0, 5, 24, 0, 0, 29, 0, 0, 786, 0, 3, 321, 0, 1, 0]",Letters to the Editor
higher,"[0, 2, 0, 0, 61, 0, 0, 12]",Letters to the Editor
hardship,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",Letters to the Editor
admitted,"[3, 0, 0, 10, 6, 12, 2, 9, 0, 0, 80, 17]",Letters to the Editor
day,"[56, 0, 0, 1, 0, 0, 0, 1, 7, 0, 0, 0]",Letters to the Editor
Until,[],Letters to the Editor
falsehood,"[0, 0, 0, 0]",Letters to the Editor
those,[],Letters to the Editor
affects,"[11, 0, 7, 0, 5, 0, 1, 0, 11, 0, 0, 0, 19, 3, 0]",Letters to the Editor
strategists,"[0, 0]",Letters to the Editor
If,[],Letters to the Editor
For,[],Letters to the Editor
four,"[0, 24, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1]",Letters to the Editor
Khrushchevs,"[0, 0, 3]",Letters to the Editor
along,"[839, 37]",Letters to the Editor
sport,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 23, 0, 1, 0, 0, 0, 7, 2, 0]",Letters to the Editor
activities,"[8, 0, 0, 0, 0, 52, 0, 0]",Letters to the Editor
getting,"[0, 0, 0, 7, 18, 0, 2, 0, 0, 0, 0, 23, 4, 0, 0, 3, 1, 0, 6, 0, 1, 33, 19, 0, 0, 51, 0, 0, 2, 0, 90, 2, 12, 5, 0, 0, 21, 0, 113, 0, 0, 19, 0, 80, 8, 1, 55, 1, 1, 0, 0, 0, 11, 18, 18, 0, 3, 84, 0, 0, 0, 3, 6, 123, 9, 12, 0, 0, 49, 492, 3, 16]",Letters to the Editor
dogmatism,"[0, 0]",Letters to the Editor
Congratulations,"[0, 0, 0, 0, 0, 1]",Letters to the Editor
once,"[0, 0, 0, 0, 53, 0, 0]",Letters to the Editor
column,"[0, 3, 0, 4, 0, 3]",Letters to the Editor
well,"[134, 5, 4, 20, 0, 0, 82, 1, 2, 1, 0]",Letters to the Editor
',[],Letters to the Editor
N.C.,[],Letters to the Editor
storm,"[1, 0, 5, 4, 13, 0, 14]",Letters to the Editor
Can,"[0, 0, 1, 0, 1, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 3, 7, 0, 0, 1, 1, 0, 4, 29, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 38, 0, 0, 0, 12, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 235, 0, 0, 0]",Letters to the Editor
publish,"[0, 16, 14, 0, 0, 0, 7]",Letters to the Editor
ours,[],Letters to the Editor
set,"[0, 0, 13, 0, 0, 0, 0, 0, 1, 0, 1, 0, 46, 0, 0, 0, 8, 0, 10, 163, 7, 0, 0, 0, 29, 0, 0, 0, 21, 0, 2, 0, 0, 72, 51, 1, 6, 0, 2, 6, 12, 1, 8, 0, 0, 0, 4, 0, 2, 19, 2, 1, 0, 7, 19, 0, 0, 0, 0, 9, 10]",Letters to the Editor
Dooleys,[],Letters to the Editor
how,[],Letters to the Editor
Castros,"[0, 0, 3]",Letters to the Editor
marred,"[0, 0, 1, 0, 0, 0, 0, 1]",Letters to the Editor
work,"[0, 0, 1, 6, 3, 24, 12, 0, 6, 0, 0, 13, 22, 127, 90, 43, 0, 39, 0, 0, 0, 0, 23, 1, 37, 3, 113, 0, 0, 0, 0, 5, 2, 18, 0, 0, 1, 9, 0, 0, 12]",Letters to the Editor
excerpt,"[0, 0, 0, 0, 0]",Letters to the Editor
out,"[0, 309, 1, 2, 0, 0, 0, 0, 0, 0, 0, 4, 40, 0, 0]",Letters to the Editor
